Serial,RAhour,RAminutes,RAseconds,RA,DECsign,DECdegrees,DECminutes,DECseconds,DEC,Vmag,PropermotionRA,PropermotionDEC
   1,00,05,09.9,0.08608333333333333,+,45,13,45,45.229166666666664, 6.70,-0.012,-0.018
   2,00,05,03.8,0.08438888888888889,-,00,30,11,-0.5030555555555556, 6.29,+0.045,-0.060
   3,00,05,20.1,0.08891666666666666,-,05,42,27,-5.7075, 4.61,-0.009,+0.089
   4,00,05,42.0,0.095,+,13,23,46,13.39611111111111, 5.51,+0.045,-0.012
   5,00,06,16.0,0.10444444444444445,+,58,26,12,58.43666666666667, 5.96,+0.263,+0.030
   6,00,06,19.0,0.10527777777777779,-,49,04,30,-49.075, 5.70,+0.565,-0.038
   7,00,06,26.5,0.10736111111111112,+,64,11,46,64.19611111111111, 5.59,+0.008, 0.000
   8,00,06,36.8,0.11022222222222222,+,29,01,17,29.02138888888889, 6.13,+0.380,-0.182
   9,00,06,50.1,0.11391666666666667,-,23,06,27,-23.1075, 6.18,+0.100,-0.045
  10,00,07,18.2,0.12172222222222222,-,17,23,11,-17.386388888888888, 6.19,-0.018,+0.036
  11,00,07,44.1,0.12891666666666668,-,02,32,56,-2.548888888888889, 6.43,+0.027,-0.002
  12,00,07,46.8,0.12966666666666668,-,22,30,32,-22.50888888888889, 5.94,+0.052,-0.044
  13,00,08,03.5,0.13430555555555557,-,33,31,46,-33.529444444444444, 5.68,-0.037, 0.000
  14,00,08,12.1,0.13669444444444445,-,02,26,52,-2.4477777777777776, 6.07,+0.009,-0.003
  15,00,08,23.3,0.13980555555555554,+,29,05,26,29.090555555555557, 2.06,+0.136,-0.163
  16,00,08,17.4,0.13816666666666666,-,08,49,26,-8.823888888888888, 5.99,-0.052,-0.033
  17,00,08,41.0,0.14472222222222222,+,36,37,36,36.626666666666665, 6.19,-0.100,-0.145
  18,00,08,33.4,0.1426111111111111,-,17,34,39,-17.5775, 6.06, 0.000,-0.025
  19,00,08,52.2,0.14783333333333334,+,25,27,46,25.462777777777777, 6.23,+0.114,+0.031
  20,00,09,20.2,0.15561111111111112,+,79,42,53,79.71472222222222, 6.01,+0.102,-0.027
  21,00,09,10.7,0.1529722222222222,+,59,08,59,59.14972222222222, 2.27,+0.525,-0.181
  22,00,09,02.4,0.15066666666666667,+,18,12,43,18.211944444444445, 5.53,+0.137,-0.024
  23,00,09,02.4,0.15066666666666667,-,54,00,07,-54.00194444444445, 6.33,+0.051,+0.016
  24,00,09,21.0,0.15583333333333332,-,27,59,16,-27.98777777777778, 5.42,+0.072,-0.004
  25,00,09,24.7,0.15686111111111112,-,45,44,51,-45.7475, 3.88,+0.124,-0.181
  26,00,10,02.3,0.16730555555555554,+,11,08,44,11.145555555555555, 5.51,+0.041,-0.003
  27,00,10,19.3,0.17202777777777778,+,46,04,20,46.07222222222222, 5.03,+0.008, 0.000
  28,00,10,29.7,0.17491666666666666,+,57,09,56,57.16555555555556, 6.74,+0.023,+0.006
  29,00,10,18.8,0.17188888888888887,-,05,14,55,-5.248611111111111, 5.84,+0.036,-0.033
  30,00,10,02.1,0.16724999999999998,-,82,13,26,-82.2238888888889, 5.28,-0.029,-0.020
  31,00,10,42.8,0.17855555555555555,-,12,34,48,-12.58, 5.85,+0.150,-0.038
  32,00,10,38.6,0.17738888888888887,-,73,13,28,-73.22444444444444, 6.64,+0.123,+0.016
  33,00,11,15.9,0.18775,-,15,28,05,-15.468055555555555, 4.89,-0.077,-0.268
  34,00,11,34.4,0.1928888888888889,-,27,47,59,-27.799722222222222, 5.41,+0.010,+0.016
  35,00,11,44.0,0.19555555555555554,-,35,07,59,-35.13305555555556, 5.25,+0.173,+0.119
  36,00,11,59.1,0.19974999999999998,+,48,09,09,48.1525, 6.16,+0.058,+0.017
  37,00,12,10.0,0.20277777777777778,-,17,56,18,-17.938333333333333, 5.25,+0.056,-0.031
