Results from heasarc_hipparcos: Hipparcos Main Catalog,,,,,,,,,,,,
Coordinate system:  Equatorial,,,,,,,,,,,,
name      ,pm_ra   ,pm_dec  ,parallax,vmag ,ra_deg      ,dec_deg     ,bv_color,vi_color,vi_color_reduct,説明の有無,説明文,名前
HIP 32349 ,-546.01,-1223.08,379.21,-1.44,101.2885411,-16.71314306,0.009,-0.02,-0.02,1,冬の夜空に見ることの出来る『おおいぬ座』『冬の大三角』の一部の星。１等星の恒星で、青白く輝いている。太陽系から見たとき太陽を含むすべての星のなかで最も明るい星である。古代エジプトではナイル川の氾濫時期を知らせてくれる星として非常に重要な働きをしていた。,シリウス
HIP 30438 ,19.99,23.67,10.43,-0.62,95.98787763,-52.69571799,0.164,0.23,0.23,1,南半球でしか見ることの出来ない星座である『りゅうこつ座』の一部の星。１等星の恒星。南半球なら容易に観測出来るが、日本では東北より南なら観測できるが地表からほんの少ししか昇らないため、観測することはほとんどできない。,カノープス
HIP 69673 ,-1093.45,-1999.4,88.85,-0.05,213.918114,19.18726997,1.239,1.22,1.22,1,春の夜空を代表する星座『春の大三角形』『春の大曲線』を形成する恒星の一つ。１等星の恒星でオレンジ色の明るい星である。近くに輝いているスピカの青白い色との対比から『夫婦星』とも呼ばれる。,アルクトゥルス
HIP 71683 ,-3678.19,481.84,742.12,-0.01,219.9204103,-60.83514707,0.71,0.69,0.69,1,日本では沖縄県や小笠原諸島をのぞくと星座の半分ほどしか見ることが出来ない、『ケンタウロス座』の一部の星。１等星の恒星で黄色く輝いている。太陽系に最も近い恒星であり、人類が太陽系以外で最初に到達出来る星と言われている。,アルファケンタウリ
HIP 91262 ,201.02,287.46,128.93,0.03,279.2341083,38.78299311,-0.001,-0.01,-0.01,1,夏の夜空を代表する星座の一つ『夏の大三角形』を形成する星のひとつ。そして、七夕のおりひめ星やこと座の一部としてもよく知られている。１等星の恒星で白く明るく輝いている。こと座の星であるが『ベガ』という名は『落ちる鷲』というアラビア語が由来になっている。,ベガ
HIP 24608 ,75.52,-427.13,77.29,0.08,79.17206517,45.99902927,0.795,0.83,0.83,1,冬の夜空に見ることの出来る『冬のダイヤモンド』の一部の星。１等星の恒星で、黄色に輝いている。北極星に比較的近い１等星であるため、日本からはほぼ一年中見ることが出来る。,カペラ
HIP 24436 ,1.87,-0.56,4.22,0.18,78.63446353,-8.20163919,-0.03,0.03,0.03,1,冬の夜空に見ることのできる『オリオン座』『冬のダイヤモンド』の一部の星。１等星の恒星で、青白く輝いている。とても明るい星であり、青白い星が多い『オリオン座』のなかでも、際立って輝いている。,リゲル
HIP 37279 ,-716.57,-1034.58,285.93,0.4,114.8272419,5.22750767,0.432,0.49,0.49,1,冬の夜空に見ることの出来る『こいぬ座』『冬の第三角』の一部の星。１等星の恒星で、薄黄色に輝いている。『プロキオン』とは犬の前という意味でおおいぬ座のシリウスの前に東の地平線から昇ったことからつけられた。,プロキオン
HIP 7588  ,88.02,-40.08,22.68,0.45,24.42813204,-57.23666007,-0.158,-0.17,-0.17,1,エリダヌス座で最も明るい星で、全21個の一等星の1つ。北半球の国のほとんどでは見ることができないため日本での知名度は低い。約秒速250メートルという猛スピードで自転をしている。,アケルナル
HIP 27989 ,27.33,10.86,7.63,0.45,88.79287161,7.40703634,1.5,2.32,2.32,1,冬の夜空に見ることの出来る『オリオン座』『冬の大三角』の一部の星。１等星の恒星で、赤く輝いている。地球から見たとき、見かけの大きさが太陽を除き最も大きな恒星である。ここ数年で、直径が２倍以上になっており、爆発寸前なのではないかといわれている。,ベテルギウス
